"McInsoft","Gates, William","Ingeniería Informática","Jobs, Steve","Ingeniería Informática","555 432768","bill.jobs@gmail.com"
"Francisco Javier de Asís","Francisco Javier de Asís","Ingeniería Informática","Loyola, Ignacio","Ingeniería Informática","666774444","asis@alumni.uv.es"
"pedalea","Contador, Alberto","Ingeniería Informática","Hinault, Bernardo","Ingeniería Química","555","contador.alberto@uv.es"
"Pepe y Pepa","Alvarez, Pepa","Ingeniería Informática","García, Pepe","Ingeniería Telemática","555274444","pepe@alumnii,uv.es"
"ESTE","Rubio Moreno, Maruja","Ing. Tecnica Telecomunicaciones especialidad Telematica","Rastrojo, Antonio","Ing. Tecnica Telecomunicaciones especialidad Telematica","645719586","rumor@ALUMNI.UV.ES"
"[GraXa]","García Fernández, Victor","Telemática","Xátiva Gandía, Goliath","Informática","656985453","gowle@hotmail.com"
"McInsoft","Gates, William","Ingeniería Informática","Jobs, Steve","Ingeniería Informática","555 432768","bill.jobs@gmail.com"
"Francisco Javier de Asís","Francisco Javier de Asís","Ingeniería Informática","Loyola, Ignacio","Ingeniería Informática","666774444","asis@alumni.uv.es"
"pedalea","Contador, Alberto","Ingeniería Informática","Hinault, Bernardo","Ingeniería Química","555","contador.alberto@uv.es"
"Pepe y Pepa","Alvarez, Pepa","Ingeniería Informática","García, Pepe","Ingeniería Telemática","555274444","pepe@alumnii,uv.es"
"ESTE","Rubio Moreno, Maruja","Ing. Tecnica Telecomunicaciones especialidad Telematica","Rastrojo, Antonio","Ing. Tecnica Telecomunicaciones especialidad Telematica","645719586","rumor@ALUMNI.UV.ES"
"[GraXa]","García Fernández, Victor","Telemática","Xátiva Gandía, Goliath","Informática","656985453","gowle@hotmail.com"
